동,클러스터,역개수,클러스터 역 개수 평균,인덱스
개포2동,1,3,2,2
광장동,1,1,2,0
구의3동,1,2,2,1
논현1동,1,2,2,1
논현2동,1,0,2,0
도곡2동,1,0,2,0
반포1동,1,4,2,2
방배2동,1,5,2,2
삼성2동,1,3,2,2
상계3.4동,1,1,2,0
상계6.7동,1,2,2,1
서초3동,1,4,2,2
서초4동,1,3,2,2
압구정동,1,2,2,1
양재2동,1,2,2,1
역삼2동,1,2,2,1
월계2동,1,2,2,1
월계3동,1,5,2,2
자양2동,1,2,2,1
자양3동,1,3,2,2
자양4동,1,3,2,2
잠원동,1,3,2,2
중계2.3동,1,1,2,0
중곡4동,1,1,2,0
청담동,1,2,2,1
하계1동,1,1,2,0
화양동,1,3,2,2
공릉1동,2,2,2,1
공릉2동,2,1,2,0
대치2동,2,1,2,0
상계1동,2,1,2,0
세곡동,2,0,2,0
양재1동,2,2,2,1
역삼1동,2,3,2,2
구의1동,3,3,2,2
군자동,3,3,2,2
대치4동,3,0,2,0
방배4동,3,4,2,2
방배본동,3,8,2,2
상계2동,3,0,2,0
상계5동,3,1,2,0
상계8동,3,1,2,0
상계9동,3,1,2,0
신사동,3,2,2,1
자양1동,3,0,2,0
중계1동,3,0,2,0
중곡2동,3,2,2,1
하계2동,3,1,2,0
개포1동,4,1,2,0
개포4동,4,2,2,1
구의2동,4,1,2,0
내곡동,4,1,2,0
능동,4,4,2,2
대치1동,4,3,2,2
도곡1동,4,4,2,2
반포2동,4,1,2,0
반포3동,4,2,2,1
반포4동,4,3,2,2
반포본동,4,10,2,2
방배1동,4,2,2,1
방배3동,4,1,2,0
삼성1동,4,4,2,2
상계10동,4,0,2,0
서초1동,4,2,2,1
서초2동,4,2,2,1
수서동,4,2,2,1
월계1동,4,4,2,2
일원1동,4,2,2,1
일원2동,4,0,2,0
일원본동,4,1,2,0
중계4동,4,1,2,0
중계본동,4,2,2,1
중곡1동,4,2,2,1
중곡3동,4,1,2,0
